,Date,Price,Open,High,Low,Change,DATE,DAILY TONNAGE,Tonnage,Grade,RecoveryPct,Gold_Return,Cumulative_Tonnage,Recovery_MA7
98,2017-04-10,1253.9,1255.6,1258.9,1248.2,-0.0027,2017-04-10,110,110,236.0,91.94915254237289,-7.974481658690191e-05,12182,90.3254131679674
99,2017-04-17,1291.9,1292.4,1297.4,1283.1,0.0026,2017-04-17,66,66,154.0,81.81818181818183,0.030305447005343433,12248,89.47573093530646
100,2017-04-24,1277.5,1280.0,1280.0,1266.0,-0.009,2017-04-24,146,146,179.0,89.3854748603352,-0.01114637355832504,12394,89.59871446336369
101,2017-05-01,1257.2,1266.4,1267.7,1257.0,-0.0101,2017-05-01,78,78,228.0,90.78947368421052,-0.01589041095890409,12472,89.93581755166295
102,2017-05-08,1228.7,1224.2,1238.0,1223.9,0.0002,2017-05-08,141,141,240.0,92.5,-0.022669424117085613,12613,89.95397735795837
103,2017-05-15,1231.6,1230.0,1238.8,1229.9,0.0019,2017-05-15,158,158,244.0,92.62295081967213,0.0023602181167086123,12771,90.23245959940671
104,2017-05-22,1263.0,1259.0,1263.3,1253.3,0.0062,2017-05-22,148,148,154.0,81.16883116883116,0.02549529067879197,12919,88.60486641337195
105,2017-05-29,1265.7,1271.2,1273.4,1261.8,-0.0032,2017-05-29,162,162,186.0,84.94623655913979,0.002137767220902642,13081,87.60444984433866
106,2017-06-05,1282.7,1282.6,1286.0,1280.2,0.002,2017-06-05,95,95,264.0,92.04545454545456,0.013431302836375059,13176,89.06548880537763
107,2017-06-12,1268.9,1269.7,1272.4,1265.6,-0.002,2017-06-12,167,167,204.0,91.17647058823528,-0.010758556170577638,13343,89.32134533793477
108,2017-06-19,1246.7,1255.8,1257.3,1244.3,-0.0078,2017-06-19,160,160,236.0,88.13559322033898,-0.01749546851603756,13503,88.94221955738169
109,2017-06-26,1246.4,1258.1,1259.0,1236.5,-0.008,2017-06-26,90,90,153.0,86.27450980392157,-0.0002406352771315845,13593,88.05286381508476
110,2017-07-03,1221.0,1244.4,1244.4,1220.2,-0.0186,2017-07-03,94,94,262.0,91.22137404580153,-0.020378690629011653,13687,87.8526385616747
111,2017-07-10,1214.9,1212.6,1216.0,1205.9,0.0029,2017-07-10,169,169,244.0,89.75409836065575,-0.004995904995904965,13856,89.07910530336393
112,2017-07-17,1235.3,1230.6,1236.8,1230.6,0.005,2017-07-17,156,156,279.0,91.39784946236558,0.01679150547370134,14012,90.00076428953903
113,2017-07-24,1255.6,1256.0,1259.6,1253.1,-0.0003,2017-07-24,70,70,216.0,88.88888888888889,0.016433255079737696,14082,89.54982633860108
114,2017-07-31,1270.1,1273.0,1273.9,1268.4,-0.0014,2017-07-31,134,134,225.0,87.1111111111111,0.011548263778273338,14216,88.96906069901192
115,2017-08-07,1261.4,1261.4,1262.4,1258.1,0.0001,2017-08-07,120,120,247.0,89.47368421052632,-0.006849854342177664,14336,89.16021655475296
116,2017-08-14,1287.0,1292.9,1293.0,1280.9,-0.0029,2017-08-14,92,92,161.0,84.472049689441,0.020294910416996936,14428,88.90272225268431
117,2017-08-21,1293.3,1285.5,1296.0,1282.9,0.0039,2017-08-21,117,117,219.0,88.12785388127854,0.004895104895104918,14545,88.4607908006096
118,2017-08-28,1311.8,1294.1,1314.0,1294.0,0.0134,2017-08-28,76,76,257.0,90.27237354085604,0.014304492383824252,14621,88.53483011206677
119,2017-09-04,1344.5,1339.7,1349.7,1331.1,0.012,2017-09-04,174,174,246.0,88.21138211382113,0.02492758042384513,14795,88.07962049084615
120,2017-09-11,1333.2,1346.0,1346.0,1328.8,-0.0118,2017-09-11,75,75,194.0,89.69072164948454,-0.00840461137969506,14870,88.19416802807407
121,2017-09-18,1308.3,1318.6,1320.4,1307.4,-0.011,2017-09-18,155,155,216.0,90.2777777777778,-0.018676867686768794,15025,88.64654898045504
122,2017-09-25,1308.8,1294.7,1311.4,1291.8,0.0107,2017-09-25,110,110,258.0,91.08527131782944,0.00038217534204698644,15135,88.87677571006978
123,2017-10-02,1275.8,1282.2,1282.8,1272.0,-0.007,2017-10-02,126,126,282.0,90.78014184397163,-0.025213936430317885,15261,89.77793173214559
124,2017-10-09,1285.0,1278.6,1288.0,1277.7,0.0079,2017-10-09,80,80,183.0,88.52459016393442,0.007211161624079088,15341,89.83460834395358
125,2017-10-16,1303.0,1306.0,1308.4,1292.5,-0.0012,2017-10-16,84,84,265.0,93.20754716981132,0.014007782101167265,15425,90.25391886237574
126,2017-10-23,1280.9,1281.5,1284.7,1273.6,0.0003,2017-10-23,140,140,231.0,87.44588744588745,-0.016960859554873253,15565,90.14456248124236
127,2017-10-30,1279.8,1279.8,1279.8,1279.8,0.0063,2017-10-30,95,95,201.0,86.56716417910447,-0.0008587711765166706,15660,89.69833998547378
128,2017-11-03,1270.8,1279.3,1282.6,1268.6,-0.007,2017-11-03,100,100,275.0,89.81818181818181,-0.007032348804500654,15760,89.63268341981723
129,2017-11-10,1275.9,1287.5,1288.0,1275.8,-0.0103,2017-11-10,128,128,177.0,88.70056497175142,0.004013220018885821,15888,89.29201108466323
130,2017-11-17,1298.2,1279.9,1298.2,1279.9,0.0143,2017-11-17,148,148,219.0,89.49771689497716,0.017477858766360876,16036,89.10880752052114
131,2017-11-24,1289.2,1292.8,1295.0,1287.2,0.0015,2017-11-24,160,160,244.0,90.57377049180327,-0.006932676012941008,16196,89.40154756735956
132,2017-12-01,1282.3,1277.9,1292.5,1274.2,0.0044,2017-12-01,127,127,288.0,91.31944444444444,-0.005352156376047246,16323,89.13181860659287
133,2017-12-08,1248.4,1249.5,1254.4,1244.4,-0.0038,2017-12-08,162,162,244.0,90.98360655737704,-0.026436871246978022,16485,89.63720705109138
134,2017-12-15,1257.5,1255.5,1264.5,1255.2,0.0003,2017-12-15,92,92,243.0,88.06584362139918,0.00728933034283874,16577,89.85130411427635
135,2017-12-22,1278.8,1270.3,1280.4,1268.4,0.0065,2017-12-22,102,102,185.0,86.48648648648648,0.016938369781312135,16679,89.37534763831987
